UniProtKB:Q9Y5A6	ZSCAN21
UniProtKB:P10589	NR2F1
UniProtKB:P10588	NR2F6
UniProtKB:Q5VTD9	GFI1B
UniProtKB:O95863	SNAI1
UniProtKB:Q5XKR4	OTP
UniProtKB:Q8NFW5	DMBX1
UniProtKB:O75373	ZNF737
UniProtKB:P17275	JUNB
UniProtKB:O75444	MAF
UniProtKB:O75626	PRDM1
UniProtKB:O43763	TLX2
UniProtKB:P17509	HOXB6
UniProtKB:P52952	NKX2-5
UniProtKB:P52951	GBX2
UniProtKB:P52945	PDX1
UniProtKB:O43711	TLX3
UniProtKB:Q9H175	CSRNP2
UniProtKB:O95947	TBX6
UniProtKB:Q9H165	BCL11A
UniProtKB:Q9H161	ALX4
UniProtKB:Q9Y2V3	RAX
UniProtKB:Q9UIW0	VAX2
UniProtKB:Q9Y2X9	ZNF281
UniProtKB:Q9H116	GZF1
UniProtKB:Q9Y2Y4	ZBTB32
UniProtKB:Q9UIU6	SIX4
UniProtKB:P20719	HOXA5
UniProtKB:Q5JT82	KLF17
UniProtKB:Q96GE5	ZNF799
UniProtKB:Q96GC6	ZNF274
UniProtKB:Q96AV8	E2F7
UniProtKB:O75593	FOXH1
UniProtKB:P17483	HOXB4
UniProtKB:P17482	HOXB9
UniProtKB:P49335	POU3F4
UniProtKB:O75541	ZNF821
UniProtKB:O43680	TCF21
UniProtKB:O43638	FOXS1
UniProtKB:O43623	SNAI2
UniProtKB:Q96BF6	NACC2
UniProtKB:Q5VV52	ZNF691
UniProtKB:Q9UBX2	DUX4
UniProtKB:Q9UBX0	HESX1
UniProtKB:Q9UJW8	ZNF180
UniProtKB:Q96T92	INSM2
UniProtKB:P15621	ZNF44
UniProtKB:Q9Y261	FOXA2
UniProtKB:Q9UBR4	LHX3
UniProtKB:Q8NCA9	ZNF784
UniProtKB:Q9UBP5	HEY2
UniProtKB:Q9Y222	DMTF1
UniProtKB:Q9UC07	ZNF69
UniProtKB:P37275	ZEB1
UniProtKB:P10075	GLI4
UniProtKB:P10074	ZBTB48
UniProtKB:P10073	ZSCAN22
UniProtKB:P10072	ZNF875
UniProtKB:P10071	GLI3
UniProtKB:P10070	GLI2
UniProtKB:O95365	ZBTB7A
UniProtKB:P57721	PCBP3
UniProtKB:O95343	SIX3
UniProtKB:O75364	PITX3
UniProtKB:O75360	PROP1
UniProtKB:P49116	NR2C2
UniProtKB:O75346	ZNF253
UniProtKB:O75333	TBX10
UniProtKB:P52630	STAT2
UniProtKB:Q3B8N5	PROX2
UniProtKB:Q9Y5W3	KLF2
UniProtKB:Q5HYK9	ZNF667
UniProtKB:Q9Y5X4	NR2E3
UniProtKB:Q9Y692	GMEB1
UniProtKB:P47902	CDX1
UniProtKB:A6NJ46	NKX6-3
UniProtKB:Q9BU19	ZNF692
UniProtKB:Q9NZI7	UBP1
UniProtKB:Q9NZL3	ZNF224
UniProtKB:A6NFI3	ZNF316
UniProtKB:Q9ULJ3	ZBTB21
UniProtKB:P23497	SP100
UniProtKB:Q9P0K8	FOXJ2
UniProtKB:Q7Z6R9	TFAP2D
UniProtKB:P55318	FOXA3
UniProtKB:P55317	FOXA1
UniProtKB:P55316	FOXG1
UniProtKB:A6NFD8	HELT
UniProtKB:Q03933	HSF2
UniProtKB:Q3SXZ3	ZNF718
UniProtKB:Q03923	ZNF85
UniProtKB:Q15306	IRF4
UniProtKB:O00482	NR5A2
UniProtKB:O00470	MEIS1
ComplexPortal:CPX-316	ctnnb1-lef1_human
ComplexPortal:CPX-5156	esr1-ncoa2_human
ComplexPortal:CPX-6016	isgf3_human
ComplexPortal:CPX-6401	atf1-atf1_human
ComplexPortal:CPX-666	rara-ncoa2_human
ComplexPortal:CPX-664	rxra-rxra_human
ComplexPortal:CPX-662	rxra-thra_human
ComplexPortal:CPX-660	gem-hoxc9_human
ComplexPortal:CPX-3361	cebpb_human-1
ComplexPortal:CPX-654	rxra-thrb_human
ComplexPortal:CPX-632	rxra-lxra_human
ComplexPortal:CPX-631	rxra-vdr_human
ComplexPortal:CPX-104	mad1-max_human
ComplexPortal:CPX-1956	nf-y_human
ComplexPortal:CPX-486	fos_jun_human
ComplexPortal:CPX-480	nfat-fos-jun_human
ComplexPortal:CPX-54	smad1-smad4_human
ComplexPortal:CPX-91	myc-max_human
ComplexPortal:CPX-6473	atf3-ddit3_human
ComplexPortal:CPX-6465	atf3_human-1
ComplexPortal:CPX-71	cebpa_human-1
ComplexPortal:CPX-711	pparg-ncoa1_human
ComplexPortal:CPX-6405	atf1-creb1_human
ComplexPortal:CPX-3230	clock-bmal2_human
ComplexPortal:CPX-3229	clock-bmal1_human
ComplexPortal:CPX-1971	e2f1-tfdp1_human
ComplexPortal:CPX-513	rxra-ncoa2_human-1
ComplexPortal:CPX-508	rxr-rar_human
ComplexPortal:CPX-6542	atf4-crebzf_human
UniProtKB:A0A1W2PPK0	CPHXL2
UniProtKB:A0A1W2PPM1	CPHXL
UniProtKB:Q6XD76	ASCL4
UniProtKB:Q96H40	ZNF486
UniProtKB:O15353	FOXN1
UniProtKB:P32314	FOXN2
